Name,Address,Tel,lat,lon,tag,Name_en,Address_en,Tag_en,Name_id,Address_id,Tag_id
巴基斯坦廚房,基隆市中正區信三路25號,-955,25.132774,121.7451693,清真,巴基斯坦廚房 (Pakistani Kitchen),Keelung City Zhongzheng District 信三路25號,Halal,巴基斯坦廚房 (Pakistan Dapur),Kota Keelung Distrik Zhongzheng 信三路25號,Halal
印度香料王餐廳  ,臺北市中山區玉門街1號(臺北市圓山花博公園集食行樂廣場),-8673,25.0697435,121.5221519,清真,印度香料王餐廳 (Indian Restaurant),Taipei City Zhongshan District 玉門街1號(臺北市圓山花博公園集食行樂廣場),Halal,印度香料王餐廳 (India Restoran),Kota Taipei Distrik Zhongshan 玉門街1號(臺北市圓山花博公園集食行樂廣場),Halal
阿巴得印度廚房,臺北市松山區光復北路130號,-2102,25.0519736,121.5571104,清真,阿巴得印度廚房 (Indian Kitchen),Taipei City Songshan District 光復北路130號,Halal,阿巴得印度廚房 (India Dapur),Kota Taipei Distrik Songshan 光復北路130號,Halal
阿里巴巴的廚房,臺北市中山區南京東路二段56號2樓,-8846,25.0518773,121.5298145,清真,阿里巴巴的廚房 (Kitchen),Taipei City Zhongshan District 南京東路二段56號2樓,Halal,阿里巴巴的廚房 (Dapur),Kota Taipei Distrik Zhongshan 南京東路二段56號2樓,Halal
泰姬印度餐廳,臺北市大安區市民大道四段48巷1號,-8064,25.0447362,121.5458423,清真,泰姬印度餐廳 (Indian Taj Restaurant),Taipei City Da’an District 市民大道四段48巷1號,Halal,泰姬印度餐廳 (India Taj Restoran),Kota Taipei Distrik Daan 市民大道四段48巷1號,Halal
張家清真黃牛肉麵館,臺北市中正區延平南路21號,-4238,25.045725,121.510765,清真,張家清真黃牛肉麵館 (Halal Beef Noodles Beef Noodle House Noodles),Taipei City Zhongzheng District 延平南路21號,Halal,張家清真黃牛肉麵館 (Halal Mi Daging Sapi Daging Sapi Rumah Mie Mie),Kota Taipei Distrik Zhongzheng 延平南路21號,Halal
清真昆明園餐廳,臺北市松山區復興北路81巷26號,-8643,25.0510673,121.545166,清真,清真昆明園餐廳 (Halal Restaurant),Taipei City Songshan District 復興北路81巷26號,Halal,清真昆明園餐廳 (Halal Restoran),Kota Taipei Distrik Songshan 復興北路81巷26號,Halal
清真泰富豪,臺北市松山區北寧路36號,-2223,25.0494732,121.5527725,清真,清真泰富豪 (Halal),Taipei City Songshan District 北寧路36號,Halal,清真泰富豪 (Halal),Kota Taipei Distrik Songshan 北寧路36號,Halal
清真黃牛肉麵館,臺北市中正區延平南路23號,-9650,25.0456123,121.5107851,清真,清真黃牛肉麵館 (Halal Beef Noodles Beef Noodle House Noodles),Taipei City Zhongzheng District 延平南路23號,Halal,清真黃牛肉麵館 (Halal Mi Daging Sapi Daging Sapi Rumah Mie Mie),Kota Taipei Distrik Zhongzheng 延平南路23號,Halal
莎堤亞印度料理,臺北市中正區信義路二段195號2樓,-3972,25.0342592,121.5296359,清真,莎堤亞印度料理 (Indian),Taipei City Zhongzheng District 信義路二段195號2樓,Halal,莎堤亞印度料理 (India),Kota Taipei Distrik Zhongzheng 信義路二段195號2樓,Halal
番紅花城土耳其餐廳,臺北市中山區南京東路二段60號,-4577,25.051831,121.529944,清真,番紅花城土耳其餐廳 (Turkish Restaurant),Taipei City Zhongshan District 南京東路二段60號,Halal,番紅花城土耳其餐廳 (Turki Restoran),Kota Taipei Distrik Zhongshan 南京東路二段60號,Halal
塔吉摩洛哥料理,臺北市大安區基隆路二段144巷3號1樓,-9144,25.0283333,121.5563889,清真,塔吉摩洛哥料理 (Moroccan),Taipei City Da’an District 基隆路二段144巷3號1樓,Halal,塔吉摩洛哥料理 (Maroko),Kota Taipei Distrik Daan 基隆路二段144巷3號1樓,Halal
羅亞咖啡&餐廳,臺北市大安區新生南路二段72號1樓,-2790,25.0275671,121.5344645,清真,羅亞咖啡&餐廳 (Cafe Restaurant),Taipei City Da’an District 新生南路二段72號1樓,Halal,羅亞咖啡&餐廳 (Kafe Restoran),Kota Taipei Distrik Daan 新生南路二段72號1樓,Halal
饗印印度巴基斯坦料理餐廳,臺北市信義區基隆路一段366號,-17268,25.0409201,121.5720055,清真,饗印印度巴基斯坦料理餐廳 (Pakistani Indian Restaurant),Taipei City Xinyi District 基隆路一段366號,Halal,饗印印度巴基斯坦料理餐廳 (Pakistan India Restoran),Kota Taipei Distrik Xinyi 基隆路一段366號,Halal
原味德里北車店,臺北市中正區北平西路3號2樓,+886-2-6632-8999#2534,25.0477467,121.5169983,清真,原味德里北車店,Taipei City Zhongzheng District 北平西路3號2樓,Halal,原味德里北車店,Kota Taipei Distrik Zhongzheng 北平西路3號2樓,Halal
酷思多披薩,臺北市中正區連雲街74-1號,-8475,25.0342863,121.5299596,清真,酷思多披薩 (Pizza),Taipei City Zhongzheng District 連雲街74-1號,Halal,酷思多披薩 (Pizza),Kota Taipei Distrik Zhongzheng 連雲街74-1號,Halal
突厥廚房台科大店,臺北市大安區基隆路四段43號(第3學生餐廳),-966,25.0120689,121.5409434,清真,突厥廚房台科大店 (Kitchen),Taipei City Da’an District 基隆路四段43號(第3學生餐廳),Halal,突厥廚房台科大店 (Dapur),Kota Taipei Distrik Daan 基隆路四段43號(第3學生餐廳),Halal
突厥廚房兒童新樂園店,臺北市士林區承德路五段55號,-966,25.0972351,121.514951,清真,突厥廚房兒童新樂園店 (Kitchen),Taipei City Shilin District 承德路五段55號,Halal,突厥廚房兒童新樂園店 (Dapur),Kota Taipei Distrik Shilin 承德路五段55號,Halal
真的好海鮮餐廳,臺北市大安區復興南路一段222號,-4887,25.0391679,121.5434402,清真,真的好海鮮餐廳 (Restaurant),Taipei City Da’an District 復興南路一段222號,Halal,真的好海鮮餐廳 (Restoran),Kota Taipei Distrik Daan 復興南路一段222號,Halal
頂鮮101美食美景餐廳,臺北市信義區信義路五段七號臺北101大樓86樓,-15903,25.033976,121.5645389,清真,頂鮮101美食美景餐廳 (Restaurant),Taipei City Xinyi District 信義路五段七號臺北101大樓86樓,Halal,頂鮮101美食美景餐廳 (Restoran),Kota Taipei Distrik Xinyi 信義路五段七號臺北101大樓86樓,Halal
大安東尼義大利餐廳101店,臺北市信義區市府路45號5樓,-15485,25.0334929,121.564101,清真,大安東尼義大利餐廳101店 (Restaurant),Taipei City Xinyi District 市府路45號5樓,Halal,大安東尼義大利餐廳101店 (Restoran),Kota Taipei Distrik Xinyi 市府路45號5樓,Halal
大安東尼義大利餐廳民生店,臺北市中山區民生東路二段178號,-3133,25.057675,121.5364812,清真,大安東尼義大利餐廳民生店 (Restaurant),Taipei City Zhongshan District 民生東路二段178號,Halal,大安東尼義大利餐廳民生店 (Restoran),Kota Taipei Distrik Zhongshan 民生東路二段178號,Halal
冰館永康店,臺北市大安區信義路二段204號,-3737,25.03346,121.5304751,清真,冰館永康店,Taipei City Da’an District 信義路二段204號,Halal,冰館永康店,Kota Taipei Distrik Daan 信義路二段204號,Halal
冰館松高店,臺北市信義區松高路16號,-7429,25.0385509,121.567355,清真,冰館松高店,Taipei City Xinyi District 松高路16號,Halal,冰館松高店,Kota Taipei Distrik Xinyi 松高路16號,Halal
阿拉丁咖哩屋,臺北市士林區中山北路五段250號,-1567,25.0862558,121.5275442,清真,阿拉丁咖哩屋 (Curry),Taipei City Shilin District 中山北路五段250號,Halal,阿拉丁咖哩屋 (Kari),Kota Taipei Distrik Shilin 中山北路五段250號,Halal
炸雞大獅大直店,臺北市中山區敬業三路123號2樓,-13925,25.0812115,121.5557198,清真,炸雞大獅大直店 (Fried Chicken),Taipei City Zhongshan District 敬業三路123號2樓,Halal,炸雞大獅大直店 (Ayam Goreng),Kota Taipei Distrik Zhongshan 敬業三路123號2樓,Halal
炸雞大獅公館店,臺北市中正區羅斯福路三段316巷3號,-4035,25.0157225,121.5325589,清真,炸雞大獅公館店 (Fried Chicken),Taipei City Zhongzheng District 羅斯福路三段316巷3號,Halal,炸雞大獅公館店 (Ayam Goreng),Kota Taipei Distrik Zhongzheng 羅斯福路三段316巷3號,Halal
炸雞大獅南港店,臺北市南港區經貿二路1號,-9840,25.0560908,121.61759,清真,炸雞大獅南港店 (Fried Chicken),Taipei City Nangang District 經貿二路1號,Halal,炸雞大獅南港店 (Ayam Goreng),Kota Taipei Distrik Nangang 經貿二路1號,Halal
炸雞大獅南港二館店,臺北市南港區經貿二路2號2館B1,-7316,25.0560263,121.6162474,清真,炸雞大獅南港二館店 (Fried Chicken),Taipei City Nangang District 經貿二路2號2館B1,Halal,炸雞大獅南港二館店 (Ayam Goreng),Kota Taipei Distrik Nangang 經貿二路2號2館B1,Halal
炸雞大獅內湖店,臺北市內湖區民善街88號 (家樂福內湖店1樓美食街),-11079,25.0601454,121.5747795,清真,炸雞大獅內湖店 (Fried Chicken),Taipei City Neihu District 民善街88號 (家樂福內湖店1樓美食街),Halal,炸雞大獅內湖店 (Ayam Goreng),Kota Taipei Distrik Neihu 民善街88號 (家樂福內湖店1樓美食街),Halal
炸雞大獅板橋愛買店,新北市板橋區貴興路101號1樓,-8170,25.001947,121.4564781,清真,炸雞大獅板橋愛買店 (Fried Chicken),New Taipei City Banqiao District 貴興路101號1樓,Halal,炸雞大獅板橋愛買店 (Ayam Goreng),Kota New Taipei Distrik Banqiao 貴興路101號1樓,Halal
炸雞大獅桃園筷食尚店,桃園市桃園區中正路47號1F,-2184,24.990799,121.31281,清真,炸雞大獅桃園筷食尚店 (Fried Chicken),Taoyuan City Taoyuan District 中正路47號1F,Halal,炸雞大獅桃園筷食尚店 (Ayam Goreng),Kota Taoyuan Distrik Taoyuan 中正路47號1F,Halal
炸雞大獅桃園捷運A18站店,桃園市中壢區高鐵北路一段5號(桃園捷運高鐵A18站2F),-4691,25.01374,121.2140636,清真,炸雞大獅桃園捷運A18站店 (Fried Chicken),Taoyuan City Zhongli District 高鐵北路一段5號(桃園捷運高鐵A18站2F),Halal,炸雞大獅桃園捷運A18站店 (Ayam Goreng),Kota Taoyuan Distrik Zhongli 高鐵北路一段5號(桃園捷運高鐵A18站2F),Halal
梅居休閒農場,臺北市士林區平菁街43巷99號,-364,25.1413207,121.5751742,清真,梅居休閒農場,Taipei City Shilin District 平菁街43巷99號,Halal,梅居休閒農場,Kota Taipei Distrik Shilin 平菁街43巷99號,Halal
清真肆集,臺北市大同區迪化街一段347號,-9535,25.0629241,121.5093435,清真,清真肆集 (Halal),Taipei City Datong District 迪化街一段347號,Halal,清真肆集 (Halal),Kota Taipei Distrik Datong 迪化街一段347號,Halal
鳥哲燒物,臺北市士林區福華路128巷12號,-2113,25.102888,121.5232094,清真,鳥哲燒物,Taipei City Shilin District 福華路128巷12號,Halal,鳥哲燒物,Kota Taipei Distrik Shilin 福華路128巷12號,Halal
H.T. Burger,臺北市大安區敦化南路二段203號B2,-9321,25.0263454,121.549434,清真,H.T. Burger,Taipei City Da’an District 敦化南路二段203號B2,Halal,H.T. Burger,Kota Taipei Distrik Daan 敦化南路二段203號B2,Halal
泰旺穆斯林泰式餐廳,新北市中和區南華路50號1樓,-7546,24.9972393,121.5044305,清真,泰旺穆斯林泰式餐廳 (Thai Restaurant),New Taipei City Zhonghe District 南華路50號1樓,Halal,泰旺穆斯林泰式餐廳 (Thailand Restoran),Kota New Taipei Distrik Zhonghe 南華路50號1樓,Halal
瑪莎拉印度餐廳板橋店,新北市板橋區文化路二段476號,-15712,25.0328557,121.4751419,清真,瑪莎拉印度餐廳板橋店 (Indian Restaurant),New Taipei City Banqiao District 文化路二段476號,Halal,瑪莎拉印度餐廳板橋店 (India Restoran),Kota New Taipei Distrik Banqiao 文化路二段476號,Halal
瑪莎拉印度餐廳三芝店,新北市三芝區北勢子12-7號,-7538,25.2552397,121.4746449,清真,瑪莎拉印度餐廳三芝店 (Indian Restaurant),New Taipei City Sanzhi District 北勢子12-7號,Halal,瑪莎拉印度餐廳三芝店 (India Restoran),Kota New Taipei Distrik Sanzhi 北勢子12-7號,Halal
泰式清真廚房,新北市永和區中興街92號1樓,-10695,25.0121851,121.5188094,清真,泰式清真廚房 (Thai Halal Kitchen),New Taipei City Yonghe District 中興街92號1樓,Halal,泰式清真廚房 (Thailand Halal Dapur),Kota New Taipei Distrik Yonghe 中興街92號1樓,Halal
突厥廚房淡水店,新北市淡水區中正路71號,-966,25.1695832,121.440806,清真,突厥廚房淡水店 (Kitchen),New Taipei City Tamsui District 中正路71號,Halal,突厥廚房淡水店 (Dapur),Kota New Taipei Distrik Tamsui 中正路71號,Halal
印度香料王永和店,新北市永和區竹林路225巷50號,-10038,25.0086256,121.5226898,清真,印度香料王永和店 (Indian),New Taipei City Yonghe District 竹林路225巷50號,Halal,印度香料王永和店 (India),Kota New Taipei Distrik Yonghe 竹林路225巷50號,Halal
達卡印度廚房,新北市林口區文化三路一段171號,-3436,25.0694375,121.3617749,清真,達卡印度廚房 (Indian Kitchen),New Taipei City Linkou District 文化三路一段171號,Halal,達卡印度廚房 (India Dapur),Kota New Taipei Distrik Linkou 文化三路一段171號,Halal
炸雞大獅林口店,新北市林口區文化三路一段356號,-5290,25.0713425,121.3653309,清真,炸雞大獅林口店 (Fried Chicken),New Taipei City Linkou District 文化三路一段356號,Halal,炸雞大獅林口店 (Ayam Goreng),Kota New Taipei Distrik Linkou 文化三路一段356號,Halal
新北炸雞大獅樹林店,新北市樹林區鎮前街112號3樓,-13741,24.9906372,121.4266486,清真,新北炸雞大獅樹林店 (Fried Chicken),New Taipei City Shulin District 鎮前街112號3樓,Halal,新北炸雞大獅樹林店 (Ayam Goreng),Kota New Taipei Distrik Shulin 鎮前街112號3樓,Halal
淡水紅樓中餐廳,新北市淡水區三民街二巷6號,-8915,25.1712682,121.4394335,清真,淡水紅樓中餐廳 (Restaurant),New Taipei City Tamsui District 三民街二巷6號,Halal,淡水紅樓中餐廳 (Restoran),Kota New Taipei Distrik Tamsui 三民街二巷6號,Halal
清真合閃妹小廚,桃園市中壢區中正五路186號,333,24.9280144,121.2537053,清真,清真合閃妹小廚 (Halal),Taoyuan City Zhongli District 中正五路186號,Halal,清真合閃妹小廚 (Halal),Kota Taoyuan Distrik Zhongli 中正五路186號,Halal
不一樣小吃,桃園市中壢區龍東路46號,-9027,24.9281956,121.2503513,清真,不一樣小吃,Taoyuan City Zhongli District 龍東路46號,Halal,不一樣小吃,Kota Taoyuan Distrik Zhongli 龍東路46號,Halal
莎堤亞印度料理桃園店,桃園市桃園區中正路20號9樓,53,24.9897388,121.3137948,清真,莎堤亞印度料理桃園店 (Indian),Taoyuan City Taoyuan District 中正路20號9樓,Halal,莎堤亞印度料理桃園店 (India),Kota Taoyuan Distrik Taoyuan 中正路20號9樓,Halal
華珍印尼餐坊,桃園市中壢區新興路212號,-2511,24.9535408,121.2277059,清真,華珍印尼餐坊,Taoyuan City Zhongli District 新興路212號,Halal,華珍印尼餐坊,Kota Taoyuan Distrik Zhongli 新興路212號,Halal
夢華印尼式餐坊,桃園市中壢區中正五路103號,-7365,24.9300796,121.2547613,清真,夢華印尼式餐坊,Taoyuan City Zhongli District 中正五路103號,Halal,夢華印尼式餐坊,Kota Taoyuan Distrik Zhongli 中正五路103號,Halal
匠骰子牛麻辣麵 台灣桃園店 (J&D BEEF NOODLES),桃園市蘆竹區桃園街95號1樓,-1464,25.0453407,121.2919727,清真,匠骰子牛麻辣麵 台灣桃園店 (J&D BEEF NOODLES) (Noodles),Taoyuan City Luzhu District 桃園街95號1樓,Halal,匠骰子牛麻辣麵 台灣桃園店 (J&D BEEF NOODLES) (Mie),Kota Taoyuan Distrik Luzhu 桃園街95號1樓,Halal
炸雞大獅桃園車站店,桃園市桃園區中正路1號2樓C4右,-2949,24.9891024,121.3136822,清真,炸雞大獅桃園車站店 (Fried Chicken),Taoyuan City Taoyuan District 中正路1號2樓C4右,Halal,炸雞大獅桃園車站店 (Ayam Goreng),Kota Taoyuan Distrik Taoyuan 中正路1號2樓C4右,Halal
桃園炸雞大獅中壢店,桃園市中壢區中和路139號,-8425,24.9534835,121.2260597,清真,桃園炸雞大獅中壢店 (Fried Chicken),Taoyuan City Zhongli District 中和路139號,Halal,桃園炸雞大獅中壢店 (Ayam Goreng),Kota Taoyuan Distrik Zhongli 中和路139號,Halal
肉先生蔬菜健康盒,桃園市蘆竹區桃園街95號1樓,-1464,25.0453407,121.2919727,清真,肉先生蔬菜健康盒,Taoyuan City Luzhu District 桃園街95號1樓,Halal,肉先生蔬菜健康盒,Kota Taoyuan Distrik Luzhu 桃園街95號1樓,Halal
中平素食之家,桃園市中壢區新興路210號,-3835,24.953512,121.2276785,清真,中平素食之家 (Vegetarian),Taoyuan City Zhongli District 新興路210號,Halal,中平素食之家 (Vegetarian),Kota Taoyuan Distrik Zhongli 新興路210號,Halal
點食齋素料理,桃園市平鎮區貿東路38號,-2861,24.9271401,121.253408,清真,點食齋素料理,Taoyuan City 平鎮區 貿東路38號,Halal,點食齋素料理,Kota Taoyuan 平鎮區 貿東路38號,Halal
阿美金三角點心,桃園市平鎮區中山路134號,412,24.9274939,121.255596,清真,阿美金三角點心,Taoyuan City 平鎮區 中山路134號,Halal,阿美金三角點心,Kota Taoyuan 平鎮區 中山路134號,Halal
清真合醬菜館,桃園市八德區龍宮街33巷54弄2號,-3731351,24.9256529,121.2575734,清真,清真合醬菜館 (Halal),Taoyuan City Bade District 龍宮街33巷54弄2號,Halal,清真合醬菜館 (Halal),Kota Taoyuan Distrik Bade 龍宮街33巷54弄2號,Halal
阿拉丁餐廳,新竹縣關西鎮仁安里拱子溝60號,-5329,24.824623,121.1834459,清真,阿拉丁餐廳 (Restaurant),Hsinchu County Guanxi Township 仁安里拱子溝60號,Halal,阿拉丁餐廳 (Restoran),Kabupaten Hsinchu Kecamatan Guanxi 仁安里拱子溝60號,Halal
安拿朵利亞土耳其餐廳,臺中市西區精誠路150號,-3624,24.1525659,120.6549585,清真,安拿朵利亞土耳其餐廳 (Turkish Restaurant),Taichung City West District 精誠路150號,Halal,安拿朵利亞土耳其餐廳 (Turki Restoran),Kota Taichung Distrik Barat 精誠路150號,Halal
Ummi印尼料理,彰化縣彰化市中正路一段496號,-4383,24.082226,120.5411879,清真,Ummi印尼料理,Changhua County Changhua City 中正路一段496號,Halal,Ummi印尼料理,Kabupaten Changhua Kota Changhua 中正路一段496號,Halal
掬翠拾煙,彰化縣鹿港鎮金盛巷10號,-9008,24.0527255,120.4353157,清真,掬翠拾煙,Changhua County Lukang Township 金盛巷10號,Halal,掬翠拾煙,Kabupaten Changhua Kecamatan Lukang 金盛巷10號,Halal
馬雅餐廳,南投縣魚池鄉大林村金天巷45號,-4813,23.8683361,120.9486564,清真,馬雅餐廳 (Restaurant),Nantou County Yuchi Township 大林村金天巷45號,Halal,馬雅餐廳 (Restoran),Kabupaten Nantou Kecamatan Yuchi 大林村金天巷45號,Halal
蔡記東華食府,南投縣埔里鎮信義路1060-1號,-8320,23.9713074,120.9564358,清真,蔡記東華食府,Nantou County Puli Township 信義路1060-1號,Halal,蔡記東華食府,Kabupaten Nantou Kecamatan Puli 信義路1060-1號,Halal
爵士印尼風小館,嘉義市西區西門街1號,-6665,23.4803991,120.4242406,清真,爵士印尼風小館 (Bistro),Chiayi City West District 西門街1號,Halal,爵士印尼風小館 (Bistro),Kota Chiayi Distrik Barat 西門街1號,Halal
烏司答土耳其居家料理,嘉義市東區東洋新村240號,-5380,23.4815472,120.4846325,清真,烏司答土耳其居家料理 (Turkish),Chiayi City East District 東洋新村240號,Halal,烏司答土耳其居家料理 (Turki),Kota Chiayi Distrik Timur 東洋新村240號,Halal
瑪翡餐廳,嘉義縣阿里山鄉樂野村4鄰127-2號,-2163,23.4570375,120.7062535,清真,瑪翡餐廳 (Restaurant),Chiayi County Alishan Township 樂野村4鄰127-2號,Halal,瑪翡餐廳 (Restoran),Kabupaten Chiayi Kecamatan Alishan 樂野村4鄰127-2號,Halal
烏司答土耳其居家料理臺南店,臺南市中西區開山路129號,-9293,22.9886004,120.2081223,清真,烏司答土耳其居家料理臺南店 (Turkish),Tainan City West Central District 開山路129號,Halal,烏司答土耳其居家料理臺南店 (Turki),Kota Tainan Distrik West Central 開山路129號,Halal
修安扁擔豆花,臺南市中西區國華街三段157號,-415,22.9971844,120.1987348,清真,修安扁擔豆花,Tainan City West Central District 國華街三段157號,Halal,修安扁擔豆花,Kota Tainan Distrik West Central 國華街三段157號,Halal
陳莉莉印尼美食五福店,高雄市鹽埕區五福四路276號,-2780,22.6235157,120.2837442,清真,陳莉莉印尼美食五福店,Kaohsiung City Yancheng District 五福四路276號,Halal,陳莉莉印尼美食五福店,Kota Kaohsiung Distrik Yancheng 五福四路276號,Halal
爪哇娃印尼餐廳,高雄市新興區南華路217號,-9560,22.6283893,120.3060706,清真,爪哇娃印尼餐廳 (Restaurant),Kaohsiung City Xinxing District 南華路217號,Halal,爪哇娃印尼餐廳 (Restoran),Kota Kaohsiung Distrik Xinxing 南華路217號,Halal
瑪丁娜印度小館,花蓮縣花蓮市和平路482號,-4871,23.9767224,121.6014226,清真,瑪丁娜印度小館 (Indian Bistro),Hualien County Hualien City 和平路482號,Halal,瑪丁娜印度小館 (India Bistro),Kabupaten Hualien Kota Hualien 和平路482號,Halal
益臺灣餐廳,臺東縣臺東市志航路一段105號,-9474,22.7790297,121.1269598,清真,益臺灣餐廳 (Restaurant),Taitung County Taitung City 志航路一段105號,Halal,益臺灣餐廳 (Restoran),Kabupaten Taitung Kota Taitung 志航路一段105號,Halal
棉花堡土耳其餐廳,高雄市三民區民族一路427號2樓,-2127,22.6564789,120.315206,清真,棉花堡土耳其餐廳 (Turkish Restaurant),Kaohsiung City Sanmin District 民族一路427號2樓,Halal,棉花堡土耳其餐廳 (Turki Restoran),Kota Kaohsiung Distrik Sanmin 民族一路427號2樓,Halal
淞子坊健康素食,臺南市永康區永大路三段328號,-687,23.0328664,120.25993,清真,淞子坊健康素食 (Vegetarian),Tainan City Yongkang District 永大路三段328號,Halal,淞子坊健康素食 (Vegetarian),Kota Tainan Distrik Yongkang 永大路三段328號,Halal
芋頭賞甜品專賣店,臺南市北區北園街56號,-8406,23.0117159,120.2231526,清真,芋頭賞甜品專賣店,Tainan City North District 北園街56號,Halal,芋頭賞甜品專賣店,Kota Tainan Distrik Utara 北園街56號,Halal
韓金婆婆,臺南市中西區赤崁街1號,421,22.997369,120.202014,清真,韓金婆婆,Tainan City West Central District 赤崁街1號,Halal,韓金婆婆,Kota Tainan Distrik West Central 赤崁街1號,Halal
夥茶,臺南市中西區永福路二段115號,-1349,22.9935839,120.2010681,清真,夥茶 (Tea),Tainan City West Central District 永福路二段115號,Halal,夥茶 (Teh),Kota Tainan Distrik West Central 永福路二段115號,Halal
中東創意bbq料理,臺北市信義區信義路六段93號,-3505,25.0354868,121.5771435,清真,中東創意bbq料理 (Middle Eastern),Taipei City Xinyi District 信義路六段93號,Halal,中東創意bbq料理 (Timur Tengah),Kota Taipei Distrik Xinyi 信義路六段93號,Halal
北平金廚新蔬食料理,臺北市士林區天母西路38巷3號,-10669,25.1181567,121.5262121,清真,北平金廚新蔬食料理 (Vegetarian),Taipei City Shilin District 天母西路38巷3號,Halal,北平金廚新蔬食料理 (Vegetarian),Kota Taipei Distrik Shilin 天母西路38巷3號,Halal
禪廚新蔬食料理,苗栗縣頭屋鄉象山路188號,222,24.5783069,120.8580378,清真,禪廚新蔬食料理 (Vegetarian),Miaoli County Touwu Township 象山路188號,Halal,禪廚新蔬食料理 (Vegetarian),Kabupaten Miaoli Kecamatan Touwu 象山路188號,Halal
光芒果子．小旅行義大利冰淇淋,臺南市玉井區中正路103號,-1144,23.1060822,120.4703258,清真,光芒果子．小旅行義大利冰淇淋,Tainan City Yujing District 中正路103號,Halal,光芒果子．小旅行義大利冰淇淋,Kota Tainan Distrik Yujing 中正路103號,Halal
媽媽咪亞南洋料理,臺南市南區中華西路1段192號1樓,-5331,22.9651878,120.1835442,清真,媽媽咪亞南洋料理,Tainan City South District 中華西路1段192號1樓,Halal,媽媽咪亞南洋料理,Kota Tainan Distrik Selatan 中華西路1段192號1樓,Halal
小新划島,臺南市東區北門路一段228號,-1066,22.9946715,120.2119507,清真,小新划島,Tainan City East District 北門路一段228號,Halal,小新划島,Kota Tainan Distrik Timur 北門路一段228號,Halal
陋室茗咖啡館,臺南市新營區三民路56號,-6751,23.307582,120.318216,清真,陋室茗咖啡館 (Cafe),Tainan City Xinying District 三民路56號,Halal,陋室茗咖啡館 (Kafe),Kota Tainan Distrik Xinying 三民路56號,Halal
茶湯會台南成功店,臺南市北區成功路384號,-2522,23.0003197,120.1999638,清真,茶湯會台南成功店 (Tea),Tainan City North District 成功路384號,Halal,茶湯會台南成功店 (Teh),Kota Tainan Distrik Utara 成功路384號,Halal
無事之森 X 賀覓,臺南市北區公園南路370巷27號,-1530,23.0042814,120.2018703,清真,無事之森 X 賀覓,Tainan City North District 公園南路370巷27號,Halal,無事之森 X 賀覓,Kota Tainan Distrik Utara 公園南路370巷27號,Halal
福灣巧克力,屏東縣東港鎮大鵬路100號,-1512,22.4589117,120.482624,清真,福灣巧克力,Pingtung County Donggang Township 大鵬路100號,Halal,福灣巧克力,Kabupaten Pingtung Kecamatan Donggang 大鵬路100號,Halal
